Text,Unit
accident,ambulance
asthma,ambulance
respiratory failure,ambulance
poisoning,ambulance
bleeding,ambulance
blood,ambulance
broken bones,ambulance
burns,ambulance
cardiovascular disorders,ambulance
choking on food,ambulance
choking,ambulance
coma,ambulance
complicated pregnancy,ambulance
dehydration,ambulance
drug poisoning,ambulance
emergency,ambulance
fainting,ambulance
faint,ambulance
food poisoning,ambulance
heart failure,ambulance
high fever,ambulance
hypertension,ambulance
hypoglycemia,ambulance
hypotension,ambulance
hypothermia,ambulance
incisions,ambulance
injury,ambulance
kidney failure,ambulance
liver failure,ambulance
loss of consciousness,ambulance
myocardial infarction,ambulance
neurological disorders,ambulance
obesity,ambulance
organ failure,ambulance
organ insufficiency,ambulance
overdose,ambulance
pesticide poisoning,ambulance
poisoning,ambulance
poisoning,ambulance
respiratory disorders,ambulance
respiratory failure,ambulance
seizures,ambulance
slipped,ambulance
severe infection,ambulance
shortness of breath,ambulance
someone fell,ambulance
strokes,ambulance
struck lightning,ambulance
wound,ambulance
breathe,ambulance
can breathe,ambulance
fall,ambulance
heart attack,ambulance
heart,ambulance
hungry,ambulance
injured,ambulance
limp,ambulance
obesity,ambulance
sick,ambulance
congested,ambulance
starvation,ambulance
wake up,ambulance
ambush,police
anti-terror squad,police
attack,police
beating,police
bombing,police
brawl,police
cctv monitoring,police
crime,police
crowd control,police
detective,police
detention,police
drugs,police
examination,police
gerebek,police
hostage,police
interrogation,police
investigation,police
investigation,police
kidnapping,police
law enforcement,police
local police,police
murder,police
patrol,police
persecution,police
police,police
prisoner,police
pursuit,police
razia,police
report,police
rescue,police
robbery,police
security,police
shooting,police
special unit,police
supervision,police
terrorism,police
the presence of the police,police
undercover operation,police
vehicle raids,police
violence,police
armed,police
assault,police
atm card,police
burglar,police
gone,police
gone,police
guns,police
help,police
jam,police
lost,police
patrol,police
power outage,police
rape,police
shoot,police
stab,police
stolen,police
stolen,police
suspicious,police
theft,police
thief,police
traffic,police
violate,police
alarm sound,firefighter
blaze,firefighter
creeper,firefighter
creeping fire,firefighter
earthquake,firefighter
evacuate,firefighter
evacuation door,firefighter
evacuation planning,firefighter
evacuation route,firefighter
evacuation warning,firefighter
extinguisher,firefighter
extinguishing water tank,firefighter
fire hose,firefighter
fire out,firefighter
fire,firefighter
forest fire,firefighter
power-up,firefighter
quick evacuation,firefighter
safe zone,firefighter
save yourself,firefighter
sirens,firefighter
smoke alarms,firefighter
smoke,firefighter
trapped,firefighter
water burst,firefighter
damage,firefighter
dangerous,firefighter
explode,firefighter
explosion,firefighter
fire,firefighter
gas,firefighter
leaked,firefighter
leaks,firefighter
locked,firefighter
on fire,firefighter
