Text,Unit
Cedera,Ambulance
cidera,Ambulance
Kecelakaan,Ambulance
saya Kecelakaan,Ambulance
Darah,Ambulance
Pingsan,Ambulance
jantung,Ambulance
Sesak napas,Ambulance
Luka parah,Ambulance
Pendarahan,Ambulance
Stroke,Ambulance
Gagal jantung,Ambulance
obesitas,Ambulance
kegemukan,Ambulance
sadarkan diri,Ambulance
Kejang,Ambulance
bisa bernafas,Ambulance
sakit,Ambulance
orang sakit,Ambulance
bernafas,Ambulance
terjatuh,Ambulance
Seseorang terjatuh,Ambulance
Tersedak,Ambulance
Kehilangan kesadaran,Ambulance
Keracunan,Ambulance
serangan jantung,Ambulance
Keracunan makanan,Ambulance
Overdosis,Ambulance
Dehidrasi,Ambulance
Demam tinggi,Ambulance
Luka bakar,Ambulance
Luka tembak,Ambulance
Patah tulang,Ambulance
Tersedot benda asing,Ambulance
Gangguan pernapasan,Ambulance
Gagal ginjal,Ambulance
Gangguan neurologis,Ambulance
Hipoglikemia,Ambulance
Hipertensi,Ambulance
Hipotensi,Ambulance
Gagal pernapasan,Ambulance
Kehamilan komplikasi,Ambulance
Keracunan,Ambulance
Tersedak makanan,Ambulance
Keracunan alkohol,Ambulance
Keracunan obat,Ambulance
Infark miokard,Ambulance
Koma,Ambulance
Luka sayatan,Ambulance
Gagal organ,Ambulance
Infeksi parah,Ambulance
Gagal pernapasan akut,Ambulance
Tersambar petir,Ambulance
Insufisiensi organ,Ambulance
Gangguan kardiovaskular,Ambulance
Hipotermia,Ambulance
Gangguan darah,Ambulance
Gagal hati,Ambulance
Asma akut,Ambulance
kelaparan,Ambulance
lapar,Ambulance
lemas,Ambulance
Keracunan pestisida,Ambulance
terluka,Ambulance

Kejahatan,Police
pencuri,Police
Perampokan,Police
kemalingan,Police
Penyanderaan,Police
kemacetan,Police
Penembakan,Police
hilang,Police
Kekerasan,Police
dicuri,Police
Kriminalitas,Police
Terorisme,Police
Narkoba,Police
kartu atm,Police
Pembunuhan,Police
penyerangan,Police
Penganiayaan,Police
Pengejaran,Police
Pemukulan,Police
Penculikan,Police
Tawuran,Police
Tindak pidana,Police
Kehadiran polisi,Police
Penegakan hukum,Police
Razia,Police
Operasi polisi,Police
menusuk,Police
Patroli,Police
Penyelidikan,Police
Serangan,Police
bersenjata,Police
senjata,Police
menembak,Police
Penahanan,Police
bantuan,Police
Interogasi,Police
Laporan,Police
Investigasi,Police
lalu lintas,Police
melanggar,Police
Detektif,Police
Tahanan,Police
Penyergapan,Police
Penyelamatan,Police
Keamanan,Police
Pengawasan,Police
Gerebek,Police
Pemeriksaan,Police
patroli,Police
dicuri,Police
pencurian,Police
hilang,Police
pemerkosaan,Police
mencurigakan,Police
kehilangan,Police
Petugas polisi,Police
Pasukan anti-teror,Police
Kepolisian,Police
Pengendalian kerumunan,Police
Operasi penyamaran,Police
Penegakan hukum,Police
Razia kendaraan,Police
Kejahatan,Police
Kepolisian setempat,Police
pemadaman listrik,Police
Unit khusus,Police
Pemantauan CCTV,Police
Pengeboman,Police
Deteksi dini kejahatan,Police

Kebakaran,Firefighter
Kebakaran hutan,Firefighter
Api,Firefighter
Asap,Firefighter
Kobaran,Firefighter
Sirene,Firefighter
Penyalaan,Firefighter
Tabung pemadam,Firefighter
Semburan air,Firefighter
Evakuasi,Firefighter
Tangki air pemadam,Firefighter
Selang pemadam,Firefighter
terbakar,Firefighter
Terperangkap,Firefighter
Suara alarm,Firefighter
Api membesar,Firefighter
Pos pemadam terdekat,Firefighter
Merambat,Firefighter
Api menjalar,Firefighter
berbahaya,Firefighter
Alarm asap,Firefighter
bocor,Firefighter
gas,Firefighter
kebocoran,Firefighter
api,Firefighter
Pintu darurat,Firefighter
Pintu evakuasi,Firefighter
Selamatkan diri,Firefighter
meledak,Firefighter
terkunci,Firefighter
kerusakan,Firefighter
Gempa bumi,Firefighter
Perencanaan evakuasi,Firefighter
ledakan,Firefighter
Zona aman,Firefighter
Jalur evakuasi,Firefighter
Api padam,Firefighter
Pintu darurat terdekat,Firefighter
Evakuasi cepat,Firefighter
Peringatan evakuasi,Firefighter
